Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_hijos,Año_registro,Total_gasto,Total_compras,Campañas_aceptadas,Cluster_KMeans,Clusters_Jerarquicos,Cluster_DBSCAN
Maestría,Unión Libre,83151.0,0,0,2012-10-10,93,407,28,100,120,74,18,1,5,9,4,3,0,0,0,0,0,0,0,66,0,2012,747,19,0,0,0,0
Doctorado,Divorciado,78825.0,0,0,2012-09-14,35,483,74,114,169,37,18,1,5,10,13,3,0,0,0,0,0,0,1,62,0,2012,895,29,1,0,0,-1
Maestría,Unión Libre,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,50,1,2013,1053,17,0,0,0,0
Licenciatura,Casado,60093.0,0,1,2013-06-26,92,502,12,109,16,6,90,2,7,2,10,6,0,0,0,0,0,0,0,52,1,2013,735,21,0,0,0,0
Licenciatura,Casado,14045.0,1,0,2014-01-26,24,11,0,5,2,1,1,1,1,0,3,7,0,0,0,0,0,0,0,57,1,2014,20,5,0,1,1,0
Posgrado,Viudo,28457.0,0,0,2012-10-28,96,24,1,108,29,29,14,1,4,1,4,8,0,0,0,0,0,0,0,74,0,2012,205,10,0,1,0,-1
Doctorado,Unión Libre,78952.0,0,1,2012-09-24,11,1170,19,594,99,76,134,2,2,5,12,6,0,0,0,0,0,0,0,68,1,2012,2092,21,0,0,0,0
Licenciatura,Divorciado,46310.0,1,0,2012-12-03,99,185,2,88,15,5,14,2,6,1,5,8,0,0,0,0,0,0,0,50,1,2012,309,14,0,1,1,0
Licenciatura,Unión Libre,76005.0,0,0,2013-02-22,72,983,20,389,240,50,40,1,3,5,13,6,0,0,0,1,0,0,0,71,0,2013,1722,22,1,0,0,0
Maestría,Soltero,58308.0,0,1,2013-01-12,77,691,0,69,10,0,130,4,2,6,3,8,0,0,0,0,0,0,0,62,1,2013,900,15,0,0,0,0
Doctorado,Divorciado,55614.0,0,0,2013-11-27,85,504,13,131,8,0,26,1,9,4,6,7,0,1,0,0,0,0,0,82,0,2013,682,20,1,0,0,-1
Maestría,Divorciado,59432.0,0,1,2013-04-13,88,317,25,265,25,19,12,3,5,3,11,5,0,0,0,0,0,0,0,64,1,2013,663,22,0,0,0,0
Licenciatura,Divorciado,55563.0,0,1,2014-04-05,22,29,1,9,2,0,2,1,2,0,3,3,0,0,0,0,0,0,0,48,1,2014,43,6,0,1,1,0
Doctorado,Unión Libre,78642.0,0,1,2013-04-21,83,1396,0,322,46,35,17,1,4,9,4,6,0,0,0,0,0,0,0,55,1,2013,1816,18,0,0,0,0
Doctorado,Unión Libre,67911.0,0,1,2014-05-22,63,529,0,356,63,28,0,3,6,7,11,3,0,0,0,0,0,0,0,77,1,2014,976,27,0,0,0,0
Licenciatura,Casado,65275.0,0,0,2013-04-03,9,388,14,218,91,14,21,1,4,3,13,2,0,0,0,0,0,0,0,82,0,2013,746,21,0,0,0,0
Licenciatura,Unión Libre,27203.0,1,1,2012-08-06,92,13,2,21,4,0,24,2,1,1,2,8,0,0,0,0,0,0,0,76,2,2012,64,6,0,1,1,0
Maestría,Unión Libre,48330.0,0,1,2013-11-15,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,65,1,2013,32,5,0,1,1,0
Básica,Casado,24279.0,0,0,2012-12-29,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0,36,0,2012,263,9,0,1,1,0
Doctorado,Casado,64355.0,1,0,2012-08-24,66,1047,0,140,67,38,153,2,4,3,12,8,0,0,0,0,0,0,0,41,1,2012,1445,21,0,0,0,0
Maestría,Unión Libre,50943.0,0,1,2013-06-21,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,0,70,1,2013,46,5,0,1,1,0
Licenciatura,Viudo,53653.0,0,0,2012-11-07,29,815,10,239,28,10,108,2,10,4,12,6,0,0,0,0,0,0,0,73,0,2012,1210,28,0,0,0,0
Licenciatura,Casado,65665.0,0,1,2013-12-02,77,225,162,387,106,36,29,1,5,10,8,3,0,0,0,0,0,0,0,50,1,2013,945,24,0,0,0,0
Licenciatura,Soltero,81217.0,0,0,2013-07-19,77,493,70,324,146,40,84,1,3,7,11,1,0,0,0,0,0,0,0,37,0,2013,1157,22,0,0,0,0
Licenciatura,Casado,34935.0,0,0,2013-06-21,71,34,4,66,3,10,20,1,2,1,4,7,0,0,0,0,0,0,0,34,0,2013,137,8,0,1,1,0
Licenciatura,Divorciado,61250.0,0,1,2012-12-16,49,382,138,65,60,26,59,6,5,2,12,5,0,0,0,0,0,0,0,67,1,2012,730,25,0,0,0,0
Doctorado,Unión Libre,39665.0,1,0,2013-05-25,97,127,1,56,0,1,31,3,4,2,3,7,1,0,0,0,0,0,0,45,1,2013,216,12,1,1,1,0
Licenciatura,Soltero,60152.0,0,1,2013-03-28,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,47,1,2013,943,23,0,0,0,0
Licenciatura,Casado,48920.0,0,2,2013-10-20,93,238,17,68,8,10,6,3,6,2,5,7,0,1,0,0,0,0,0,62,2,2013,347,16,1,1,0,0
Maestría,Unión Libre,89120.0,0,0,2014-03-17,78,1168,92,408,72,129,55,1,5,6,7,1,0,0,1,0,0,0,0,67,0,2014,1924,19,1,0,0,0
Doctorado,Unión Libre,44124.0,0,1,2013-05-11,62,284,0,55,0,6,52,4,6,2,5,8,0,0,0,0,0,0,0,80,1,2013,397,17,0,1,0,0
Maestría,Soltero,81169.0,0,0,2013-04-14,47,1288,20,613,80,61,27,1,5,7,9,2,0,0,0,0,0,0,0,51,0,2013,2089,22,0,0,0,1
Licenciatura,Casado,36443.0,1,1,2013-02-03,9,65,0,46,4,3,20,4,3,1,3,8,0,0,0,0,0,0,0,65,2,2013,138,11,0,1,1,0
Licenciatura,Soltero,26095.0,1,0,2013-06-30,77,11,7,9,3,1,11,1,1,0,3,7,0,0,0,0,0,0,0,36,1,2013,42,5,0,1,1,0
Licenciatura,Unión Libre,71367.0,0,0,2013-08-23,24,227,23,389,42,21,75,1,4,5,7,2,0,0,0,0,0,0,0,67,0,2013,777,17,0,0,0,0
Maestría,Casado,80184.0,0,0,2014-03-01,19,1035,134,670,25,38,0,1,6,3,10,3,0,0,1,1,0,0,0,82,0,2014,1902,20,2,0,0,-1
Licenciatura,Divorciado,30630.0,1,1,2014-01-27,67,27,1,12,2,0,10,2,2,0,3,7,0,0,0,0,0,0,0,61,2,2014,52,7,0,1,1,0
Maestría,Soltero,73454.0,0,0,2014-03-01,95,982,73,351,56,14,175,1,2,4,6,5,1,0,0,0,0,0,0,39,0,2014,1651,13,1,0,0,-1
Licenciatura,Casado,42691.0,0,0,2013-08-16,48,179,2,64,38,17,58,1,5,1,6,5,0,0,0,0,0,0,0,35,0,2013,358,13,0,1,1,0
Licenciatura,Casado,70503.0,0,0,2012-09-30,73,1379,33,216,0,33,66,1,2,4,9,6,0,1,1,0,0,0,0,73,0,2012,1727,16,2,0,0,0
Licenciatura,Casado,25545.0,1,0,2012-09-08,35,32,1,64,16,12,85,3,2,2,3,6,0,0,0,0,0,0,1,39,1,2012,210,10,1,1,0,0
Licenciatura,Casado,32880.0,1,0,2012-12-04,76,8,4,15,7,6,2,1,1,0,3,8,0,0,0,0,0,0,0,40,1,2012,42,5,0,1,1,0
Doctorado,Unión Libre,77863.0,0,0,2013-11-27,20,881,38,319,16,25,12,1,4,5,10,2,0,0,0,0,0,0,0,68,0,2013,1291,20,0,0,0,0
Maestría,Casado,50353.0,0,0,2014-06-08,72,141,15,153,67,31,35,1,4,4,6,3,0,0,0,0,0,0,0,49,0,2014,442,15,0,1,0,0
Licenciatura,Soltero,61839.0,0,0,2012-08-12,20,1000,155,379,224,17,120,1,4,8,4,8,0,0,0,0,0,0,0,62,0,2012,1895,17,0,0,0,0
Doctorado,Casado,49154.0,1,1,2013-11-03,69,206,10,67,30,27,71,6,4,1,8,6,0,0,0,0,0,0,0,66,2,2013,411,19,0,1,0,0
Posgrado,Viudo,47682.0,0,1,2013-02-15,80,162,61,83,97,57,61,4,4,3,8,5,0,0,0,0,0,0,0,51,1,2013,521,19,0,1,0,0
Licenciatura,Soltero,72679.0,0,1,2013-09-18,65,619,54,260,127,54,54,1,4,7,5,1,0,0,0,0,0,0,0,57,1,2013,1168,17,0,0,0,0
Maestría,Unión Libre,57954.0,1,1,2014-06-18,52,456,4,24,0,0,9,7,8,2,6,7,0,1,0,0,0,0,0,49,2,2014,493,23,1,0,0,0
Licenciatura,Casado,65316.0,1,1,2013-04-24,65,112,6,92,3,9,38,2,3,2,5,4,0,0,0,0,0,0,0,64,2,2013,260,12,0,1,0,0
Licenciatura,Soltero,28567.0,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,44,1,2013,46,7,0,1,1,0
Maestría,Unión Libre,47352.0,0,1,2013-04-11,70,172,12,112,8,0,15,4,6,1,5,7,0,0,0,0,0,0,0,75,1,2013,319,16,0,1,1,0
Licenciatura,Unión Libre,44931.0,0,1,2014-01-18,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,59,1,2014,96,7,0,1,1,0
Licenciatura,Divorciado,76982.0,0,0,2014-02-15,19,464,151,292,65,60,30,1,8,3,4,4,0,0,1,0,0,0,1,59,0,2014,1062,16,2,0,0,-1
Posgrado,Unión Libre,57247.0,0,1,2013-08-08,50,99,4,32,37,54,6,2,2,1,7,2,0,0,0,0,0,0,0,74,1,2013,232,12,0,1,0,0
Maestría,Soltero,22944.0,1,0,2013-12-23,67,19,3,19,4,5,26,3,3,0,3,7,0,0,0,0,0,0,0,45,1,2013,76,9,0,1,0,0
Posgrado,Unión Libre,25315.0,1,0,2013-11-07,46,1,9,8,11,3,22,3,3,0,3,8,0,0,0,0,0,0,0,49,1,2013,54,9,0,1,1,0
Licenciatura,Viudo,43638.0,0,1,2012-08-06,37,63,10,83,7,19,19,2,4,1,4,7,0,0,0,0,0,0,0,57,1,2012,201,11,0,1,1,0
Doctorado,Soltero,42710.0,1,0,2012-11-28,38,252,3,42,4,3,102,2,4,5,3,6,0,0,0,0,0,0,0,42,1,2012,406,14,0,1,1,0
Doctorado,Casado,84169.0,0,0,2013-08-07,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,1,44,0,2013,1919,20,3,0,0,-1
Licenciatura,Unión Libre,54058.0,0,1,2013-06-04,56,198,18,252,32,108,54,2,4,6,8,3,0,0,0,0,0,0,0,50,1,2013,662,20,0,0,0,0
Posgrado,Casado,24683.0,1,0,2014-03-08,98,8,4,10,6,7,6,2,2,0,4,5,0,0,0,0,0,0,0,36,1,2014,41,8,0,1,1,0
Licenciatura,Viudo,85620.0,0,0,2014-01-07,68,416,46,925,60,107,46,1,3,6,4,1,0,0,0,0,0,0,1,62,0,2014,1600,14,1,0,0,-1
Licenciatura,Casado,47850.0,1,0,2013-12-03,72,42,7,43,20,12,10,1,3,0,4,6,0,0,0,0,0,0,0,46,1,2013,134,8,0,1,1,0
Licenciatura,Casado,19514.0,1,1,2014-01-26,47,14,3,21,2,1,28,4,3,1,2,8,1,0,0,0,0,0,1,58,2,2014,69,10,2,1,1,0
Maestría,Casado,27159.0,1,1,2014-03-29,33,17,0,3,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,53,2,2014,21,6,0,1,1,0
Posgrado,Soltero,39548.0,1,1,2014-03-31,87,15,4,10,3,4,18,2,1,1,3,3,0,0,0,0,0,0,0,63,2,2014,54,7,0,1,1,0
Licenciatura,Soltero,21474.0,1,0,2014-04-08,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,0,1,37,1,2014,91,8,2,1,1,0
Doctorado,Soltero,60504.0,0,1,2014-02-07,73,458,0,24,6,4,34,2,6,2,8,6,0,0,0,0,0,0,0,55,1,2014,526,18,0,1,0,0
Licenciatura,Casado,22419.0,0,0,2013-04-18,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,0,63,0,2013,162,8,0,1,0,0
Maestría,Casado,81698.0,0,0,2013-11-06,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,1,77,0,2013,1008,25,1,0,0,0
Licenciatura,Unión Libre,43462.0,1,1,2012-09-12,50,90,17,97,15,6,15,6,4,1,5,8,0,0,0,0,0,0,0,74,2,2012,240,16,0,1,1,0
Doctorado,Soltero,54880.0,1,0,2013-03-01,57,308,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,0,48,1,2013,795,21,0,0,0,0
Licenciatura,Casado,79908.0,0,0,2013-04-05,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,0,44,0,2013,1772,19,1,0,0,0
Posgrado,Casado,15315.0,0,0,2013-08-03,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,56,0,2013,64,8,0,1,1,0
Licenciatura,Unión Libre,87771.0,0,1,2013-05-22,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,1,67,1,2013,1957,20,5,0,0,-1
Licenciatura,Casado,33039.0,1,0,2013-09-09,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,48,1,2013,78,7,0,1,1,0
Licenciatura,Soltero,81741.0,0,0,2013-06-16,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,0,46,0,2013,1572,19,0,0,0,0
Maestría,Unión Libre,71499.0,0,1,2013-06-25,12,465,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,0,0,55,1,2013,795,26,0,0,0,0
Posgrado,Casado,62466.0,0,1,2014-01-15,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,56,1,2014,889,26,0,0,0,0
Doctorado,Divorciado,48799.0,0,1,2013-11-05,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,0,63,1,2013,331,15,0,1,0,0
Doctorado,Unión Libre,52157.0,0,1,2014-06-07,48,189,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,0,76,1,2014,265,12,0,1,0,0
Licenciatura,Soltero,66565.0,0,1,2012-12-05,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,0,64,1,2012,1065,19,0,0,0,0
Maestría,Unión Libre,29298.0,1,1,2013-09-07,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,0,75,2,2013,11,4,0,1,1,0
Licenciatura,Soltero,47691.0,0,1,2013-07-05,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,0,47,1,2013,21,4,0,1,1,0
Licenciatura,Unión Libre,38200.0,1,1,2012-12-07,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,56,2,2012,17,4,0,1,1,0
Licenciatura,Casado,44989.0,0,1,2012-09-12,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,52,1,2012,369,16,0,1,0,0
Doctorado,Casado,38443.0,1,1,2014-01-27,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,0,58,2,2014,38,6,0,1,1,0
Posgrado,Soltero,38593.0,1,0,2013-09-13,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,0,48,1,2013,177,11,0,1,1,0
Doctorado,Unión Libre,64413.0,0,1,2013-08-01,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,56,1,2013,279,12,0,1,0,0
Maestría,Casado,36959.0,1,0,2013-10-02,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,0,45,1,2013,62,7,0,1,1,0
Doctorado,Casado,61996.0,0,1,2013-01-31,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,1,49,1,2013,1230,21,4,0,0,-1
Licenciatura,Casado,51287.0,1,1,2014-04-01,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,0,58,2,2014,182,11,0,1,1,0
Licenciatura,Casado,13260.0,1,1,2013-08-23,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,0,56,2,2013,49,10,0,1,1,0
Doctorado,Unión Libre,47472.0,1,1,2013-09-16,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,0,60,2,2013,75,8,0,1,1,0
Maestría,Unión Libre,54603.0,1,1,2013-07-09,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,0,70,2,2013,227,16,0,1,1,0
Doctorado,Casado,45207.0,1,1,2012-11-10,64,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,0,52,2,2012,215,15,1,1,0,0
Licenciatura,Unión Libre,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,75,1,2013,444,20,0,1,0,0
Posgrado,Unión Libre,47821.0,1,1,2013-10-20,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,0,59,2,2013,47,5,0,1,1,0
Maestría,Casado,27450.0,0,0,2013-04-15,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,0,75,0,2013,143,7,0,1,0,0
Licenciatura,Unión Libre,39453.0,1,0,2014-04-03,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,0,43,1,2014,55,7,0,1,1,0
Posgrado,Unión Libre,26850.0,1,1,2014-04-18,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,0,55,2,2014,63,11,0,1,1,0
Licenciatura,Viudo,79800.0,0,0,2012-09-23,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,1,71,0,2012,1867,22,4,0,0,-1
Maestría,Casado,61794.0,0,1,2013-09-14,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,0,65,1,2013,611,20,0,0,0,0
Licenciatura,Unión Libre,53863.0,0,1,2014-05-17,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,71,1,2014,473,18,1,0,0,0
Licenciatura,Unión Libre,24221.0,0,0,2013-08-20,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,0,67,0,2013,55,6,0,1,0,0
Doctorado,Soltero,39684.0,1,0,2012-10-12,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,1,42,1,2012,81,7,1,1,1,0
Maestría,Casado,92163.0,0,0,2012-12-12,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,1,51,0,2012,2086,21,3,0,0,-1
Maestría,Soltero,69882.0,0,0,2013-11-10,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,0,61,0,2013,1478,20,0,0,0,1
Licenciatura,Unión Libre,33178.0,1,0,2014-01-30,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,49,1,2014,49,5,0,1,1,0
Doctorado,Casado,59973.0,0,0,2013-09-11,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0,54,0,2013,382,15,0,0,0,0
Maestría,Unión Libre,17459.0,1,0,2013-09-19,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1,51,1,2013,69,9,1,1,1,0
Licenciatura,Divorciado,23910.0,1,0,2012-10-26,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,0,57,1,2012,67,6,0,1,1,0
Maestría,Casado,42169.0,1,1,2013-10-19,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,0,57,2,2013,30,6,0,1,1,0
Posgrado,Casado,26224.0,1,0,2013-06-04,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,0,48,1,2013,63,9,0,1,1,0
Licenciatura,Unión Libre,31089.0,1,0,2012-08-17,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0,45,1,2012,79,10,0,1,1,0
Licenciatura,Soltero,30081.0,0,1,2013-02-21,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,65,1,2013,42,5,0,1,1,0
Licenciatura,Unión Libre,62807.0,0,1,2012-08-31,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0,66,1,2012,819,23,0,0,0,0
Licenciatura,Soltero,72906.0,0,0,2013-09-17,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,0,71,0,2013,1151,17,0,0,0,0
Doctorado,Casado,61467.0,0,2,2012-12-09,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,78,2,2012,594,20,0,0,0,0
Maestría,Unión Libre,49618.0,1,1,2013-01-26,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,60,2,2013,129,11,0,1,1,0
Maestría,Soltero,21888.0,1,0,2012-12-29,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,40,1,2012,213,12,1,1,0,0
Licenciatura,Viudo,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,53,1,2014,67,7,0,1,1,0
Licenciatura,Divorciado,26150.0,2,1,2013-03-11,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,70,3,2013,28,5,0,1,1,0
Básica,Casado,30801.0,0,1,2012-10-26,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,51,1,2012,45,6,0,1,1,0
Licenciatura,Casado,81168.0,0,0,2014-05-07,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,0,61,0,2014,1193,18,1,0,0,0
Maestría,Soltero,26877.0,0,0,2013-08-19,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,57,0,2013,268,12,0,1,0,0
Maestría,Viudo,45006.0,0,0,2013-07-18,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,0,82,0,2013,266,12,0,1,0,-1
Básica,Casado,18978.0,1,0,2012-12-11,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,53,1,2012,37,5,0,1,1,0
Licenciatura,Casado,22574.0,2,1,2013-10-28,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,59,3,2013,37,7,0,1,1,0
Doctorado,Soltero,48240.0,0,0,2012-11-09,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,57,0,2012,882,25,1,0,0,0
Licenciatura,Casado,45837.0,1,1,2013-07-26,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,52,2,2013,373,18,0,1,0,0
Maestría,Soltero,35791.0,2,1,2013-05-06,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,61,3,2013,35,6,0,1,1,0
Doctorado,Unión Libre,162397.0,1,1,2013-06-03,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,50,2,2013,107,1,0,1,0,-1
Licenciatura,Viudo,54162.0,1,1,2013-03-18,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,48,2,2013,42,5,0,1,1,0
Maestría,Casado,30522.0,0,1,2012-08-17,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,66,1,2012,326,17,0,1,0,0
Doctorado,Casado,54456.0,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,65,1,2013,404,17,0,1,0,0
Licenciatura,Soltero,31632.0,0,0,2013-07-14,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,55,0,2013,95,6,0,1,1,0
Licenciatura,Viudo,72298.0,0,0,2014-03-10,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,77,0,2014,939,14,2,0,0,-1
Posgrado,Soltero,36975.0,1,0,2013-12-28,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,48,1,2013,33,5,0,1,1,0
Posgrado,Casado,72635.0,0,0,2013-06-03,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,71,0,2013,981,21,1,0,0,0
Licenciatura,Casado,13624.0,1,0,2013-01-20,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,50,1,2013,36,7,0,1,1,0
Licenciatura,Soltero,84196.0,0,1,2013-06-03,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,51,1,2013,1237,20,0,0,0,0
Licenciatura,Unión Libre,70971.0,0,1,2012-09-21,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,66,1,2012,1825,34,1,0,0,-1
Doctorado,Divorciado,34487.0,1,1,2012-09-06,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,49,2,2012,103,9,0,1,1,0
Licenciatura,Soltero,28769.0,1,0,2012-12-18,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,49,1,2012,191,12,0,1,0,0
Doctorado,Casado,69084.0,1,0,2013-11-19,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,56,1,2013,1586,25,0,0,0,0
Doctorado,Unión Libre,65488.0,0,0,2014-06-13,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,68,0,2014,963,14,0,0,0,0
Posgrado,Casado,62466.0,0,1,2014-01-15,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,56,1,2014,889,26,0,0,0,0
Posgrado,Soltero,32218.0,0,0,2014-02-15,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,66,0,2014,93,7,2,1,1,-1
Licenciatura,Soltero,83917.0,0,0,2013-04-18,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,53,0,2013,1587,21,1,0,0,0
Licenciatura,Divorciado,46102.0,2,1,2014-03-10,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,64,3,2014,16,4,0,1,1,0
Licenciatura,Soltero,84574.0,0,0,2013-06-04,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,74,0,2013,1375,32,0,0,0,0
Licenciatura,Casado,56181.0,0,1,2013-01-08,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,64,1,2013,393,14,0,1,0,0
Maestría,Divorciado,63120.0,0,1,2012-09-28,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,76,1,2012,1477,26,1,0,0,-1
Licenciatura,Casado,73691.0,0,1,2013-11-06,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,55,1,2013,1179,18,1,0,0,0
Licenciatura,Unión Libre,63381.0,0,1,2012-10-05,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,66,1,2012,1005,26,0,0,0,0
Doctorado,Unión Libre,76140.0,0,0,2014-05-13,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,78,0,2014,1348,21,0,0,0,0
Doctorado,Divorciado,62859.0,0,1,2012-12-30,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,67,1,2012,1307,23,0,0,0,0
Licenciatura,Soltero,45906.0,0,1,2013-05-07,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,0,62,1,2013,486,15,1,1,0,0
Maestría,Unión Libre,77632.0,0,0,2013-03-10,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,79,0,2013,2252,13,3,0,0,-1
